country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Denmark,2021-02,2,4,1,0.2857142857142857,0.5714285714285714,0.14285714285714285,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Denmark,2021-03,1,4,2,0.14285714285714285,0.5714285714285714,0.2857142857142857,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Denmark,2021-04,2,5,0,0.2857142857142857,0.7142857142857143,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Denmark,2021-05,4,0,0,1,0,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Denmark,2021-06,9,4,4,0.5294117647058824,0.23529411764705882,0.23529411764705882,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Denmark,2021-07,3,5,1,0.3333333333333333,0.5555555555555556,0.1111111111111111,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Denmark,2021-08,5,1,5,0.45454545454545453,0.09090909090909091,0.45454545454545453,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Denmark,2021-09,3,0,0,1,0,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Denmark,2021-10,0,1,0,0,1,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Denmark,2021-11,1,0,0,1,0,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Djibouti,2021-02,0,1,0,0,1,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Dominica,2021-02,1,0,0,1,0,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Dominica,2021-03,1,0,1,0.5,0,0.5,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Dominica,2021-04,1,0,0,1,0,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Dominica,2021-05,1,0,0,1,0,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Dominica,2021-06,1,3,0,0.25,0.75,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Dominica,2021-07,2,7,0,0.2222222222222222,0.7777777777777778,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Ecuador,2020-12,0,0,1,0,0,1,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Ecuador,2021-02,1,0,0,1,0,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Ecuador,2021-03,1,4,4,0.1111111111111111,0.4444444444444444,0.4444444444444444,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Ecuador,2021-04,1,1,0,0.5,0.5,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Ecuador,2021-05,1,0,0,1,0,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Ecuador,2021-07,1,5,0,0.16666666666666666,0.8333333333333334,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Ecuador,2021-08,2,0,0,1,0,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Ecuador,2021-09,0,2,0,0,1,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Egypt,2020-12,0,2,3,0,0.4,0.6,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Egypt,2021-01,1,0,0,1,0,0,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Egypt,2021-02,0,8,2,0,0.8,0.2,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Egypt,2021-03,0,4,0,0,1,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Egypt,2021-04,3,3,2,0.375,0.375,0.25,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Egypt,2021-05,1,3,1,0.2,0.6,0.2,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Egypt,2021-06,2,5,0,0.2857142857142857,0.7142857142857143,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Egypt,2021-07,3,7,0,0.3,0.7,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Egypt,2021-08,2,2,0,0.5,0.5,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Egypt,2021-09,0,2,1,0,0.6666666666666666,0.3333333333333333,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Egypt,2021-10,0,3,0,0,1,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Egypt,2021-11,1,3,0,0.25,0.75,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
El Salvador,2021-03,1,0,0,1,0,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
El Salvador,2021-05,1,0,0,1,0,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
El Salvador,2021-07,0,1,0,0,1,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
