country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Canada,2021-10,2494600,65533,11,805830936
Canada,2021-11,1267181,33288,12,582593278
Cape Verde,2021-03,4838,8611,4,340529467
Cape Verde,2021-04,11700,20820,5,533501731
Cape Verde,2021-05,10565,18805,6,792994644
Cape Verde,2021-06,54569,97112,7,1136984197
Cape Verde,2021-07,84854,151013,8,1060429251
Cape Verde,2021-08,137282,244316,9,1201442306
Cape Verde,2021-09,112376,199994,10,969014866
Cape Verde,2021-10,89158,158673,11,805830936
Cape Verde,2021-11,18040,32106,12,582593278
Cayman Islands,2020-12,1375,20675,1,8698776
Cayman Islands,2021-01,8525,128185,2,93138028
Cayman Islands,2021-02,11929,179386,3,170467452
Cayman Islands,2021-03,25746,387169,4,340529467
Cayman Islands,2021-04,18297,275148,5,533501731
Cayman Islands,2021-05,15217,228833,6,792994644
Cayman Islands,2021-06,11881,178663,7,1136984197
Cayman Islands,2021-07,5059,76076,8,1060429251
Cayman Islands,2021-08,3236,48665,9,1201442306
Cayman Islands,2021-09,5946,89414,10,969014866
Cayman Islands,2021-10,6751,101518,11,805830936
Cayman Islands,2021-11,5039,75777,12,582593278
Central African Republic,2021-05,17746,3610,6,792994644
Central African Republic,2021-06,62845,12775,7,1136984197
Central African Republic,2021-07,15749,3203,8,1060429251
Central African Republic,2021-08,19143,3887,9,1201442306
Central African Republic,2021-09,72431,14717,10,969014866
Central African Republic,2021-10,223090,45345,11,805830936
Central African Republic,2021-11,13413,2726,12,582593278
Chad,2021-06,5375,325,7,1136984197
Chad,2021-07,20292,1199,8,1060429251
Chad,2021-08,22944,1354,9,1201442306
Chad,2021-09,93578,5530,10,969014866
Chad,2021-10,79030,4672,11,805830936
Chad,2021-11,13097,772,12,582593278
Chile,2020-12,17748,923,1,8698776
Chile,2021-01,59238,3079,2,93138028
Chile,2021-02,3178236,165426,3,170467452
Chile,2021-03,6626924,344928,4,340529467
Chile,2021-04,4650605,242062,5,533501731
Chile,2021-05,3863957,201118,6,792994644
Chile,2021-06,4295136,223561,7,1136984197
Chile,2021-07,3052586,158884,8,1060429251
Chile,2021-08,2936563,152845,9,1201442306
Chile,2021-09,3198609,166487,10,969014866
Chile,2021-10,4599010,239378,11,805830936
Chile,2021-11,2785099,144966,12,582593278
China,2020-12,3000000,2080,1,8698776
China,2021-01,18794325,13013,2,93138028
China,2021-02,27893435,19309,3,170467452
China,2021-03,55563168,38470,4,340529467
China,2021-04,132826860,91969,5,533501731
China,2021-05,364184997,252165,6,792994644
China,2021-06,581455146,402608,7,1136984197
China,2021-07,416799142,288601,8,1060429251
China,2021-08,428975427,297028,9,1201442306
China,2021-09,172708569,119588,10,969014866
China,2021-10,56364715,39028,11,805830936
China,2021-11,150228713,104021,12,582593278
Colombia,2021-02,106949,2085,3,170467452
Colombia,2021-03,1773209,34589,4,340529467
Colombia,2021-04,2798908,54598,5,533501731
Colombia,2021-05,4713946,91950,6,792994644
Colombia,2021-06,7938298,154850,7,1136984197
Colombia,2021-07,9006818,175689,8,1060429251
Colombia,2021-08,8653058,168785,9,1201442306
Colombia,2021-09,5121367,99898,10,969014866
Colombia,2021-10,6789592,132439,11,805830936
Colombia,2021-11,5259763,102596,12,582593278
Comoros,2021-04,12978,14607,5,533501731
Comoros,2021-05,58973,66376,6,792994644
Comoros,2021-06,7870,8854,7,1136984197
Comoros,2021-07,51601,58081,8,1060429251
Comoros,2021-08,140781,158456,9,1201442306
Comoros,2021-09,66590,74949,10,969014866
